day,서울,제주,경남,경북,전남,전북,충남,충북,강원,경기,세종,울산,대전,광주,인천,대구,부산,,
2020-04-04,22,0,1,1,0,0,1,0,1,23,0,0,0,0,3,27,3,,
2020-04-05,24,3,1,4,0,1,0,0,3,10,0,0,1,1,2,7,0,,
2020-04-06,11,0,2,2,0,0,1,0,0,8,0,0,2,0,1,13,1,,
2020-04-07,4,0,1,1,0,0,1,0,2,10,0,0,0,0,0,13,0,,
2020-04-08,11,0,1,3,0,1,0,0,2,6,0,0,0,0,4,9,0,,
2020-04-09,12,0,2,0,0,0,1,0,0,10,0,0,0,0,0,4,0,,
2020-04-10,5,0,0,7,0,0,0,0,0,9,0,0,0,0,1,0,1,,
2020-04-11,4,0,0,3,0,0,0,0,0,9,0,1,0,0,0,7,3,,
2020-04-12,3,0,0,3,0,0,1,0,0,4,0,0,0,0,1,2,0,,
2020-04-13,8,0,0,4,0,0,0,0,0,3,0,0,0,0,1,3,0,,
2020-04-14,2,0,0,5,0,0,0,0,0,8,0,1,0,0,1,3,0,,
2020-04-15,5,1,0,6,0,0,0,0,2,6,0,0,0,1,0,1,2,,
2020-04-16,2,0,0,4,0,0,0,0,1,4,0,0,0,0,0,4,0,,
2020-04-17,2,0,0,4,0,0,0,0,0,1,0,0,0,2,1,0,2,,
2020-04-18,1,0,1,2,0,0,2,0,1,4,0,0,0,0,1,3,1,,
2020-04-19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,,
2020-04-20,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,1,0,,
2020-04-21,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,,
2020-04-22,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,,
2020-04-23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,,
2020-04-24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,,
2020-04-25,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,,
2020-04-26,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,,
2020-04-27,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,,
2020-04-28,4,0,0,1,0,0,0,0,0,3,0,0,0,0,1,2,0,,
2020-04-29,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,,
2020-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-05-01,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,,
2020-05-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2020-05-03,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,,
2020-05-04,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,,
2020-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2020-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-05-07,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,,
2020-05-08,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,3,3,,
2020-05-09,12,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,,
2020-05-10,14,1,0,0,0,0,0,2,0,6,0,0,0,0,3,2,0,,
2020-05-11,20,0,0,0,0,0,0,3,1,4,1,0,0,0,3,0,0,,
2020-05-12,12,0,1,1,0,0,0,0,0,8,0,0,2,0,1,1,0,,
2020-05-13,12,0,1,0,0,1,0,0,0,2,0,1,0,0,2,3,0,,
2020-05-14,4,0,0,1,1,0,1,3,1,6,0,0,0,0,12,0,0,,
2020-05-15,14,0,0,0,1,0,0,0,0,3,0,0,0,0,5,3,0,,
2020-05-16,5,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,,
2020-05-17,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,
2020-05-18,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,,
2020-05-19,6,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,,
2020-05-20,10,0,0,0,0,1,0,0,0,10,0,0,0,0,8,1,0,,
2020-05-21,4,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,,
2020-05-22,2,0,1,2,0,0,0,0,0,6,0,1,0,0,1,0,1,,
2020-05-23,4,0,1,0,0,0,0,0,0,13,0,0,1,0,0,1,0,,
2020-05-24,6,0,0,6,0,0,0,0,1,6,0,0,0,0,2,0,1,,
2020-05-25,6,0,0,1,0,0,0,0,0,6,0,0,0,0,1,1,1,,
2020-05-26,9,0,0,1,0,0,0,1,0,2,0,0,0,0,3,1,0,,
2020-05-27,19,0,0,0,0,0,0,0,0,6,0,0,0,0,11,3,0,,
2020-05-28,24,0,0,1,0,0,1,0,0,21,0,0,0,0,22,2,0,,
2020-05-29,20,0,0,0,0,0,0,0,0,20,0,0,0,0,18,0,0,,
2020-05-30,9,0,0,0,1,0,0,0,1,13,0,0,0,2,5,2,0,,
2020-05-31,6,1,0,0,0,0,0,0,0,12,0,2,1,0,3,1,0,,
2020-06-01,1,0,0,0,1,0,0,0,0,12,0,0,0,0,18,1,0,,
2020-06-02,14,0,0,0,0,0,0,0,0,15,0,0,0,0,8,0,0,,
2020-06-03,19,0,0,0,0,0,0,0,0,12,0,0,0,0,17,1,0,,
2020-06-04,14,0,0,1,0,0,0,0,0,15,0,0,0,0,7,0,0,,
2020-06-05,15,0,0,2,0,0,1,0,0,13,0,0,0,0,6,1,0,,
2020-06-06,23,0,1,1,0,0,1,0,1,8,0,0,0,0,11,0,0,,
2020-06-07,27,0,0,0,0,0,0,1,0,19,0,1,0,0,6,1,0,,
2020-06-08,22,0,0,0,0,0,0,0,0,8,0,0,0,0,4,1,0,,
2020-06-09,19,0,1,0,0,0,2,0,0,13,0,0,0,0,3,0,0,,
2020-06-10,12,0,2,0,0,0,0,0,1,21,0,0,0,0,8,0,1,,
2020-06-11,21,0,0,0,0,0,0,0,0,16,0,0,0,0,6,0,0,,
2020-06-12,25,0,0,0,0,0,0,0,0,19,0,0,0,0,1,1,0,,
2020-06-13,28,0,0,0,0,0,1,0,0,14,0,0,0,0,1,3,0,,
2020-06-14,12,0,0,0,0,0,0,0,1,10,0,0,0,0,8,2,2,,
2020-06-15,7,0,3,0,0,0,1,0,0,10,0,0,0,0,8,0,0,,
2020-06-16,12,0,2,0,0,0,0,0,0,5,0,0,3,0,2,0,0,,
2020-06-17,13,1,0,0,0,0,1,0,0,13,0,0,5,0,2,1,0,,
2020-06-18,25,0,0,0,0,1,3,0,0,16,1,0,7,0,1,1,2,,
2020-06-19,18,3,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,,
2020-06-20,14,0,0,1,0,1,2,0,0,17,0,0,5,0,5,2,0,,
2020-06-21,17,0,1,0,0,0,1,0,2,10,1,0,10,1,0,1,0,,
2020-06-22,5,0,0,1,0,1,2,0,0,6,0,0,0,0,1,1,0,,
2020-06-23,6,0,0,0,0,0,0,1,0,7,0,0,4,0,1,1,1,,
2020-06-24,11,0,0,1,0,1,1,0,1,7,0,2,8,0,3,2,1,,
2020-06-25,9,0,0,0,0,0,1,0,0,9,0,0,4,0,1,0,0,,
2020-06-26,17,0,0,1,0,0,3,0,1,4,0,0,4,0,2,0,0,,
2020-06-27,17,0,0,0,0,1,0,1,0,17,0,0,2,0,1,1,0,,
2020-06-28,14,0,0,0,3,0,1,1,0,17,0,0,6,4,0,0,1,,
2020-06-29,7,0,1,1,1,1,0,0,0,16,0,0,2,4,1,2,0,,
2020-06-30,7,0,0,1,0,0,0,0,1,7,1,0,5,3,3,0,1,,
2020-07-01,9,0,0,0,1,0,1,0,0,16,0,0,4,12,2,1,0,,
2020-07-02,13,0,0,0,0,0,3,0,0,10,0,0,1,22,0,3,0,,
2020-07-03,12,0,2,1,0,1,1,1,0,18,0,0,4,6,1,13,0,,
2020-07-04,7,0,1,1,0,0,0,1,0,19,0,0,3,8,2,1,0,,
2020-07-05,16,1,0,1,0,1,0,0,1,8,0,0,8,16,0,0,0,,
2020-07-06,3,0,1,1,2,0,1,0,1,6,0,0,2,7,6,0,0,,
2020-07-07,3,0,0,0,0,1,0,0,0,13,0,0,2,6,2,1,0,,
2020-07-08,10,0,2,1,1,2,6,0,0,18,0,0,2,8,1,1,0,,
2020-07-09,8,0,2,-1,1,1,1,0,0,8,0,0,6,15,3,0,0,,
2020-07-10,8,0,3,0,3,0,0,2,0,14,0,0,7,3,1,0,0,,
2020-07-11,8,0,0,0,0,2,1,0,0,4,0,0,2,9,1,0,0,,
2020-07-12,7,0,1,0,0,1,0,0,0,17,0,0,1,5,0,0,1,,
2020-07-13,13,0,2,0,0,0,4,1,2,11,0,0,0,7,3,1,0,,
2020-07-14,7,0,0,0,0,2,0,1,0,9,0,0,1,1,0,0,0,,
2020-07-15,6,0,0,0,0,0,0,0,0,5,0,0,3,1,1,0,0,,
2020-07-16,7,0,1,0,0,0,0,1,3,21,0,1,1,1,3,2,0,,
2020-07-17,9,3,2,0,0,0,0,0,0,15,0,0,1,5,0,0,2,,
2020-07-18,6,1,2,0,1,0,0,0,0,10,0,1,0,0,2,3,2,,
2020-07-19,10,1,0,0,0,0,0,0,0,4,0,0,1,10,1,0,5,,
2020-07-20,3,0,2,1,2,1,1,0,0,1,0,0,0,1,2,2,1,,
2020-07-21,21,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1,,
2020-07-22,16,0,1,0,0,0,1,1,0,15,0,0,0,4,5,1,2,,
2020-07-23,12,0,0,0,0,0,0,0,0,28,0,0,0,9,3,0,1,,
2020-07-24,21,0,2,1,0,0,0,0,0,8,0,0,0,2,0,2,0,,
2020-07-25,11,0,0,0,1,0,0,0,0,14,0,1,0,0,0,0,0,,
2020-07-26,7,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,,
2020-07-27,9,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,1,,
2020-07-28,6,0,0,1,2,0,1,0,0,6,0,0,0,0,0,0,0,,
2020-07-29,9,0,0,1,0,0,0,0,0,11,0,1,0,1,3,0,1,,
2020-07-30,3,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,,
2020-07-31,8,0,0,2,0,0,1,0,2,10,0,0,0,0,0,1,3,,
2020-08-01,2,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,,
2020-08-02,5,0,0,1,0,0,0,0,0,3,0,0,0,1,0,2,0,,
2020-08-03,5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
2020-08-04,9,0,0,1,1,0,0,1,0,11,0,0,0,2,1,0,1,,
2020-08-05,6,0,4,0,0,0,0,6,1,7,0,0,0,1,1,1,9,,
2020-08-06,9,0,1,4,2,0,2,1,2,13,0,0,0,0,0,0,4,,
2020-08-07,9,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,2,,
2020-08-08,17,0,0,0,0,0,0,0,0,18,0,0,0,0,2,1,5,,
2020-08-09,13,0,0,0,0,0,1,1,0,15,0,1,0,2,1,1,3,,
2020-08-10,13,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,7,,
2020-08-11,6,0,0,0,0,1,2,0,0,13,0,0,0,0,0,0,7,,
2020-08-12,15,0,0,0,0,0,1,0,0,19,0,0,1,6,0,0,7,,
2020-08-13,26,0,1,0,0,2,1,0,0,17,0,1,0,2,0,1,9,,
2020-08-14,32,0,0,1,0,0,3,0,1,47,0,1,0,2,4,0,15,,
2020-08-15,74,0,1,0,0,1,2,0,3,72,0,0,1,1,6,0,8,,
2020-08-16,146,0,2,0,0,0,5,1,0,98,0,3,0,7,9,1,3,,
2020-08-17,90,0,0,2,0,1,4,3,1,70,0,0,2,7,7,1,2,,
2020-08-18,132,0,0,3,0,7,5,1,2,52,0,3,0,4,18,6,3,,
2020-08-19,151,0,1,3,2,1,3,2,6,99,2,0,0,6,8,2,3,,
2020-08-20,135,0,3,5,3,6,5,1,5,85,1,0,8,1,10,3,4,,
2020-08-21,126,0,4,6,6,5,13,3,9,103,3,1,7,5,18,4,8,,
2020-08-22,128,2,9,4,7,4,7,2,16,95,1,3,5,11,22,9,8,,
2020-08-23,140,0,9,2,14,0,10,3,15,125,0,3,15,17,32,6,6,,
2020-08-24,97,0,1,6,7,4,8,10,6,85,3,1,10,1,20,0,6,,
2020-08-25,134,3,2,1,1,4,9,2,8,72,3,0,11,4,15,5,4,,
2020-08-26,112,2,5,0,13,7,12,0,18,98,0,2,7,7,27,3,3,,
2020-08-27,154,1,8,4,13,2,15,1,14,102,0,2,3,39,59,13,7,,
2020-08-28,146,2,4,1,12,2,9,5,3,113,2,1,3,17,27,8,4,,
2020-08-29,125,1,12,1,9,0,8,6,0,104,0,0,4,16,20,6,4,,
2020-08-30,116,2,7,3,8,0,8,5,2,80,1,3,6,2,13,30,10,,
2020-08-31,94,6,1,2,5,1,9,1,3,79,1,5,7,9,14,4,2,,
2020-09-01,94,1,3,9,4,0,7,1,4,63,0,6,8,4,22,2,9,,
2020-09-02,101,1,1,4,3,0,7,1,2,84,0,5,14,10,11,13,1,,
2020-09-03,69,0,0,0,6,0,7,1,4,64,0,8,4,6,16,3,2,,
2020-09-04,70,0,3,4,1,0,21,4,3,56,0,3,4,11,3,7,1,,
2020-09-05,50,1,8,1,0,2,4,4,3,51,0,1,2,8,14,5,3,,
2020-09-06,63,0,6,2,3,1,2,2,5,47,0,1,5,7,12,5,4,,
2020-09-07,48,0,3,0,0,1,3,0,0,31,0,3,5,9,1,2,3,,
2020-09-08,67,0,0,3,1,3,0,1,0,31,1,3,4,13,2,2,3,,
2020-09-09,49,0,1,0,1,1,8,1,0,55,2,4,8,17,1,2,4,,
2020-09-10,48,2,1,3,2,1,12,3,2,50,0,4,11,5,5,1,4,,
2020-09-11,63,2,0,2,2,0,14,1,0,47,0,5,11,8,8,1,2,,
2020-09-12,50,1,3,2,1,1,6,0,3,32,0,1,7,3,8,4,2,,
2020-09-13,31,0,3,2,0,2,11,0,1,32,0,7,2,3,3,14,2,,
2020-09-14,41,0,1,1,0,1,8,0,0,30,0,1,1,3,10,4,6,,
2020-09-15,32,3,2,1,0,1,3,2,1,39,0,0,3,1,9,0,8,,
2020-09-16,51,0,3,2,0,5,2,2,0,26,0,0,1,2,9,4,5,,
2020-09-17,63,0,3,6,1,0,10,0,0,54,0,0,2,1,7,2,7,,
2020-09-18,47,2,4,5,0,8,6,3,0,37,0,0,2,0,6,2,7,,
2020-09-19,40,0,1,4,0,1,4,1,0,41,0,0,2,0,11,2,0,,
2020-09-20,28,0,1,5,0,0,1,1,0,26,0,1,2,0,3,2,3,,
2020-09-21,23,0,2,1,0,0,0,2,0,18,0,0,2,1,2,1,2,,
2020-09-22,21,0,1,4,0,0,0,2,2,20,1,1,0,0,2,0,0,,
2020-09-23,40,0,0,6,0,1,5,2,1,30,0,2,0,2,5,3,3,,
2020-09-24,39,1,1,2,1,1,1,2,2,48,3,0,1,0,10,1,1,,
2020-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,
2020-09-26,57,0,1,6,0,3,1,3,1,27,1,0,0,2,3,0,5,,
2020-09-27,26,0,1,3,0,3,0,0,0,14,0,0,1,0,1,1,0,,
2020-09-28,34,0,1,6,1,2,2,2,0,21,1,0,0,2,9,0,6,,
2020-09-29,19,0,1,4,0,0,0,1,1,14,0,1,0,0,1,0,18,,
2020-09-30,11,0,0,2,0,0,2,1,0,10,0,0,0,0,0,0,8,,
2020-10-01,51,0,0,6,0,3,5,0,0,26,0,1,2,3,4,2,0,,
2020-10-02,30,0,0,5,1,0,3,1,0,21,0,0,0,0,3,1,5,,
2020-10-03,11,0,0,4,0,0,1,0,0,19,0,0,0,0,4,0,5,,
2020-10-04,26,0,0,2,3,1,1,1,0,10,0,0,2,0,7,0,3,,
2020-10-05,16,0,0,4,0,0,0,2,0,16,0,1,2,1,6,2,2,,
2020-10-06,19,0,1,1,0,3,2,1,0,27,1,4,1,0,5,1,5,,
2020-10-07,15,0,0,0,0,9,0,0,0,35,0,1,3,0,4,0,5,,
2020-10-08,33,0,0,0,0,8,0,0,0,53,1,1,2,0,6,1,3,,
2020-10-09,20,0,3,1,0,0,0,1,0,24,0,0,7,0,5,0,3,,
2020-10-10,22,0,1,0,1,0,0,1,0,12,0,0,5,0,0,1,4,,
2020-10-11,25,0,0,0,2,0,3,0,0,24,0,0,1,0,8,1,0,,
2020-10-12,23,0,0,0,0,0,1,0,2,21,0,1,2,0,1,1,1,,
2020-10-13,31,0,1,1,0,2,2,0,1,29,0,0,13,1,3,0,2,,
2020-10-14,20,0,0,1,0,1,2,1,4,38,0,0,10,2,0,1,55,,
2020-10-15,23,0,0,0,0,0,1,0,0,31,0,1,4,0,8,0,0,,
2020-10-16,25,0,0,1,0,1,0,1,1,8,0,0,1,0,11,0,6,,
2020-10-17,18,0,0,0,0,2,1,0,0,17,0,0,2,0,4,0,4,,
2020-10-18,38,0,2,0,1,0,2,0,5,82,0,0,1,1,3,1,15,,
2020-10-19,14,0,1,2,0,1,2,1,1,18,0,0,2,2,5,0,0,,
2020-10-20,11,0,1,2,0,0,2,2,3,28,0,0,1,0,3,0,2,,
2020-10-21,17,0,0,2,1,0,0,1,2,24,0,1,4,1,6,0,10,,
2020-10-22,18,0,0,1,0,2,11,0,2,67,0,0,0,0,4,2,5,,
2020-10-23,20,0,0,0,1,2,4,0,1,103,0,0,0,6,5,5,0,,
2020-10-24,22,0,0,0,2,0,5,0,0,35,0,0,5,0,2,0,0,,
2020-10-25,17,0,2,0,0,0,2,0,0,27,0,1,1,0,0,1,1,,
2020-10-26,20,0,3,3,0,0,1,2,0,67,1,1,1,0,3,0,0,,
2020-10-27,24,0,5,0,3,0,1,1,6,35,0,0,5,0,2,0,1,,
2020-10-28,25,0,3,5,0,3,1,0,14,31,0,0,7,0,10,2,0,,
2020-10-29,36,0,0,1,0,1,1,0,7,58,0,2,0,2,5,3,0,,
2020-10-30,48,0,1,0,1,2,3,2,6,32,0,2,0,0,3,10,0,,
2020-10-31,51,0,1,0,0,0,5,0,0,27,3,0,0,0,3,9,2,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
